"station","muniname","num","loc"
"Alabat","Alabat",5,"Perez, Quezon, Alabat, Calauag, Lopez"
"Ambulong","City of Tanauan",3,"Santo Tomas, City of Tanauan, City of Calamba"
"Aparri","Aparri",5,"Camalaniugan, Allacapan, Buguey, Ballesteros, Aparri"
"Baguio City","Baguio City",4,"Tuba, Itogon, La Trinidad, Baguio City"
"Baler","Baler",4,"San Luis, Dipaculao, Baler, Maria Aurora"
"Basco","Basco",5,"Uyugan, Ivana, Sabtang, Mahatao, Basco"
"Borongan","City of Borongan",5,"Maydolong, San Julian, Sulat, Taft, City of Borongan"
"Butuan City","Butuan City",4,"Magallanes, Buenavista, City of Cabadbaran, Butuan City"
"Calapan","City of Calapan",4,"Baco, Victoria, Naujan, City of Calapan"
"Casiguran","Casiguran",4,"Dinalungan, Dilasag, Casiguran, Maddela"
"Catarman","Catarman",5,"San Jose, San Roque, Bobon, Mondragon, Catarman"
"Catbalogan","City of Catbalogan",5,"Motiong, San Jorge, Jiabong, Tarangnan, City of Catbalogan"
"Clark Airport","Angeles City",2,"Mabalacat City, Angeles City"
"CLSU Muñoz","Science City of Muñoz",4,"Talugtug, Science City of Muñoz, Talavera, San Jose City"
"Cotabato City","Datu Odin Sinsuat",3,"Sultan Kudarat, Datu Odin Sinsuat, Cotabato City"
"Cubi Pt. Subic Bay","Olongapo City",2,"Subic, Olongapo City"
"Cuyo","Cuyo",2,"Magsaysay, Cuyo"
"Daet","Daet",5,"Talisay, Basud, Vinzons, Mercedes, Daet"
"Dagupan City","Dagupan City",4,"Calasiao, Binmaley, Mangaldan, Dagupan City"
"Davao City","Davao City",1,"Davao City"
"Dipolog","Dipolog City",4,"Katipunan, Polanco, Dapitan City, Dipolog City"
"Dumaguete City","Sibulan",4,"Valencia, Bacong, Sibulan, Dumaguete City"
"General Santos City","General Santos City",1,"General Santos City"
"Guiuan","Guiuan",4,"Mercedes, Quinapondan, Salcedo, Guiuan"
"Hinatuan","Hinatuan",4,"Tagbina, Barobo, Hinatuan, City of Bislig"
"Iba","Iba",3,"Palauig, Iba, Botolan"
"Infanta","Infanta",4,"General Nakar, Polillo, Real, Infanta"
"Laoag City","Laoag City",5,"Paoay, Bacarra, San Nicolas, City of Batac, Laoag City"
"Legazpi City","Legazpi City",4,"Manito, Santo Domingo, Daraga, Legazpi City"
"Maasin","City of Maasin",5,"Tomas Oppus, Malitbog, Macrohon, Matalom, City of Maasin"
"Mactan International Airport","Lapu-Lapu City",2,"Mandaue City, Lapu-Lapu City"
"Malaybalay","City of Malaybalay",5,"Cabanglasan, Impasug-Ong, Lantapan, City of Valencia, City of Malaybalay"
"Masbate City","City of Masbate",4,"Baleno, Mobo, Milagros, City of Masbate"
"NAIA Pasay City","City of Parañaque",2,"Pasay City, City of Parañaque"
"Port Area","City of Manila",1,"City of Manila"
"Puerto Princesa City","Puerto Princesa City",1,"Puerto Princesa City"
"Romblon City","Romblon",6,"Calatrava, Magdiwang, San Andres, San Fernando, San Agustin, Romblon"
"Roxas City","Roxas City",4,"Ivisan, Panitan, Panay, Roxas City"
"Sangley Point","Cavite City",4,"Noveleta, Kawit, Cavite City, Imus City"
"Science Garden Quezon City","Quezon City",1,"Quezon City"
"Sinait","Sinait",4,"San Juan, Sinait, Badoc, Cabugao"
"Surigao City","Surigao City",5,"Sison, San Francisco, Tagana-An, Placer, Surigao City"
"Tacloban City","Tacloban City",4,"Santa Fe, Tanauan, Palo, Tacloban City"
"Tanay","Tanay",4,"Baras, Teresa, Morong, Tanay"
"Tayabas City","City of Tayabas",2,"City of Tayabas, Lucena City"
"Tuguegarao City","Tuguegarao City",5,"Santa Maria, Iguig, Enrile, Solana, Tuguegarao City"
"Virac","Virac",4,"San Miguel, Bato, San Andres, Virac"
"Zamboanga City","Zamboanga City",1,"Zamboanga City"
